,Loyalty_Number,Country,Province,City,Postal_Code,Gender,Education,Salary,Marital_Status,Loyalty_Card,CLV,Enrollment_Type,Enrollment_Year,Enrollment_Month,Cancellation_Year,Cancellation_Month
7476,729542,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,81472.0,Married,Nova,7096.6,Standard,2015,9,2016.0,5.0
7492,837327,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,99726.0,Divorced,Nova,7145.3,Standard,2014,3,2016.0,10.0
7495,579684,Canada,Quebec,Montreal,H4G 3T4,Male,Bachelor,95901.0,Married,Nova,7147.62,Standard,2015,10,2018.0,3.0
7503,915243,Canada,Ontario,Toronto,P1W 1K4,Female,Bachelor,87890.0,Divorced,Nova,7155.47,Standard,2017,6,2018.0,2.0
7504,434657,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,64489.0,Married,Nova,7163.8,Standard,2016,4,2018.0,3.0
7517,986018,Canada,Quebec,Quebec City,G1B 3L5,Female,College,,Married,Nova,7188.61,Standard,2014,1,2018.0,8.0
7524,663072,Canada,Ontario,Sudbury,M5V 1G5,Male,College,,Single,Nova,7209.09,Standard,2013,2,2014.0,10.0
7530,222425,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,56648.0,Married,Nova,7221.15,Standard,2015,11,2016.0,7.0
7531,594626,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,56648.0,Married,Nova,7221.15,Standard,2014,12,2016.0,6.0
7546,649487,Canada,Ontario,Kingston,M9K 2P4,Male,College,,Single,Nova,7261.62,Standard,2017,5,2018.0,1.0
7548,793801,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,49794.0,Single,Nova,7268.74,Standard,2013,4,2014.0,4.0
7549,872069,Canada,Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,46839.0,Married,Nova,7269.34,Standard,2017,10,2018.0,4.0
7563,117725,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,80107.0,Married,Nova,7286.79,Standard,2013,7,2014.0,2.0
7567,548883,Canada,British Columbia,Vancouver,V1E 4R6,Male,College,,Divorced,Nova,7294.85,Standard,2014,12,2015.0,8.0
7570,868830,Canada,Ontario,Trenton,K8V 4B2,Female,Doctor,159402.0,Divorced,Nova,7296.54,Standard,2014,11,2017.0,12.0
7575,895180,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,92804.0,Married,Nova,7305.94,Standard,2015,11,2016.0,7.0
7587,599925,Canada,Saskatchewan,Regina,S1J 3C5,Female,Bachelor,93320.0,Married,Nova,7334.52,Standard,2017,7,2018.0,8.0
7597,539854,Canada,Ontario,Toronto,P1W 1K4,Female,Bachelor,53487.0,Married,Nova,7347.41,Standard,2016,9,2017.0,12.0
7622,729161,Canada,Ontario,Kingston,M9K 2P4,Male,College,,Single,Nova,7411.81,Standard,2017,8,2018.0,12.0
7637,144695,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,52671.0,Married,Nova,7434.68,Standard,2015,5,2016.0,1.0
7638,141043,Canada,Prince Edward Island,Charlottetown,C1A 6E8,Female,College,,Single,Nova,7439.98,Standard,2017,6,2018.0,2.0
7642,782503,Canada,Newfoundland,St. John's,A1C 6H9,Male,Bachelor,97241.0,Married,Nova,7443.83,Standard,2014,6,2014.0,7.0
7663,967693,Canada,Ontario,Kingston,M9K 2P4,Male,College,,Divorced,Nova,7486.02,Standard,2013,11,2017.0,8.0
7668,748586,Canada,Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,55120.0,Married,Nova,7492.16,Standard,2017,12,2018.0,8.0
7676,366727,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,68173.0,Single,Nova,7506.78,Standard,2016,4,2017.0,4.0
7680,743320,Canada,Ontario,Toronto,P1J 8T7,Male,College,,Single,Nova,7511.66,Standard,2015,12,2016.0,9.0
7682,134827,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,102379.0,Divorced,Nova,7519.13,Standard,2014,7,2015.0,3.0
7685,694021,Canada,Ontario,Toronto,P2T 6G3,Male,College,,Married,Aurora,6847.59,2018 Promotion,2018,3,2018.0,11.0
7699,955138,Canada,Nova Scotia,Halifax,B3J 9S2,Male,College,,Married,Nova,7545.55,Standard,2015,6,2016.0,2.0
7702,147986,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,College,,Married,Nova,7550.42,Standard,2016,11,2017.0,7.0
7703,944491,Canada,Ontario,Trenton,K8V 4B2,Male,College,,Married,Nova,7550.87,Standard,2015,2,2017.0,8.0
7709,970401,Canada,Ontario,Toronto,M2Z 4K1,Female,Doctor,83307.0,Married,Nova,7572.24,Standard,2013,10,2014.0,10.0
7720,583175,Canada,Ontario,Toronto,P1L 8X8,Female,College,,Married,Nova,7587.34,Standard,2017,1,2017.0,9.0
7725,306203,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,70040.0,Divorced,Nova,7599.9,Standard,2014,11,2015.0,12.0
7728,217497,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,72359.0,Married,Nova,7605.64,Standard,2015,11,2016.0,7.0
7742,201891,Canada,British Columbia,Vancouver,V1E 4R6,Female,Bachelor,83056.0,Married,Nova,7623.58,Standard,2014,8,2018.0,4.0
7748,606344,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,71816.0,Married,Nova,7635.55,Standard,2017,1,2017.0,9.0
7752,255183,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,56841.0,Single,Nova,7639.67,Standard,2015,1,2015.0,9.0
7766,202271,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Doctor,80786.0,Married,Nova,7679.68,Standard,2014,12,2015.0,8.0
7777,823436,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,68602.0,Single,Nova,7695.12,Standard,2016,11,2017.0,7.0
7789,769166,Canada,Quebec,Quebec City,G1B 3L5,Female,College,,Single,Nova,7714.62,Standard,2015,10,2016.0,6.0
7805,253082,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,68711.0,Married,Nova,7737.27,Standard,2015,3,2015.0,11.0
7807,555024,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,102858.0,Married,Nova,7743.92,Standard,2016,6,2017.0,2.0
7812,763621,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,102273.0,Single,Nova,7758.59,Standard,2017,7,2018.0,3.0
7835,911852,Canada,Quebec,Montreal,H2T 2J6,Female,College,,Married,Nova,7804.6,Standard,2017,6,2018.0,2.0
7845,892556,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,58318.0,Married,Nova,7834.15,Standard,2014,3,2015.0,6.0
7848,546171,Canada,Ontario,Toronto,P1W 1K4,Female,Bachelor,68048.0,Married,Nova,7835.93,Standard,2014,7,2015.0,3.0
7858,931828,Canada,Ontario,Kingston,M9K 2P4,Female,College,,Married,Nova,7844.25,Standard,2015,3,2016.0,9.0
7861,397848,Canada,Ontario,Ottawa,K1F 2R2,Female,College,,Married,Nova,7850.59,Standard,2016,4,2016.0,12.0
7864,766909,Canada,Saskatchewan,Regina,S6J 3G0,Female,Bachelor,67721.0,Married,Nova,7851.58,Standard,2013,1,2013.0,8.0
7865,322435,Canada,Ontario,Toronto,M2M 6J7,Male,Bachelor,50895.0,Married,Nova,7851.9,Standard,2015,12,2016.0,8.0
7881,730748,Canada,Quebec,Montreal,H2Y 4R4,Male,Doctor,213168.0,Married,Nova,7880.34,Standard,2017,9,2018.0,5.0
7883,166110,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,87951.0,Divorced,Nova,7887.96,Standard,2015,5,2016.0,1.0
7890,403473,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,63833.0,Divorced,Nova,7908.67,Standard,2014,3,2018.0,8.0
7898,105700,Canada,British Columbia,Vancouver,V5R 1W3,Female,College,,Single,Nova,7944.97,Standard,2013,8,2015.0,8.0
7905,859144,Canada,Ontario,Toronto,M2Z 4K1,Male,College,,Married,Nova,7955.77,Standard,2014,3,2017.0,5.0
7906,327498,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,64702.0,Divorced,Nova,7956.15,Standard,2016,1,2016.0,9.0
7916,573986,Canada,Ontario,Toronto,P1W 1K4,Female,Bachelor,104401.0,Married,Nova,7985.47,Standard,2017,7,2018.0,3.0
7921,415640,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,80703.0,Married,Nova,7995.44,Standard,2015,5,2015.0,10.0
7938,599560,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,79936.0,Married,Nova,8013.9,Standard,2016,6,2017.0,12.0
7939,902993,Canada,Newfoundland,St. John's,A1C 6H9,Male,Bachelor,74965.0,Single,Nova,8018.5,Standard,2015,2,2015.0,3.0
7964,853565,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,73831.0,Married,Nova,8061.2,Standard,2013,9,2017.0,11.0
7965,752609,Canada,Ontario,Trenton,K8V 4B2,Male,Doctor,147572.0,Married,Nova,8066.07,Standard,2014,6,2018.0,3.0
7968,991983,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,54286.0,Married,Nova,8072.75,Standard,2016,6,2017.0,3.0
7975,488891,Canada,Ontario,Toronto,P2T 6G3,Female,Bachelor,94969.0,Divorced,Nova,8090.88,Standard,2013,2,2013.0,9.0
7996,426022,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,54314.0,Married,Nova,8111.65,Standard,2013,1,2016.0,3.0
8005,225529,Canada,Quebec,Quebec City,G1B 3L5,Female,High School or Below,43743.0,Married,Nova,8161.17,Standard,2013,9,2014.0,9.0
8007,417553,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,65033.0,Single,Nova,8161.78,Standard,2016,3,2016.0,11.0
8008,799622,Canada,Ontario,Kingston,M9K 2P4,Male,Bachelor,56030.0,Married,Nova,8161.94,Standard,2014,10,2016.0,5.0
8037,746580,Canada,Alberta,Edmonton,T9G 1W3,Male,High School or Below,68586.0,Married,Nova,8237.04,Standard,2016,7,2017.0,3.0
8045,943602,Canada,Ontario,Toronto,P5S 6R4,Female,College,,Married,Aurora,8215.39,2018 Promotion,2018,4,2018.0,12.0
8050,883174,Canada,Ontario,Toronto,M8Y 4K8,Male,Doctor,221857.0,Married,Nova,8257.67,Standard,2014,8,2018.0,12.0
8056,171691,Canada,Ontario,Trenton,K8V 4B2,Male,College,,Single,Aurora,8586.53,2018 Promotion,2018,4,2018.0,12.0
8058,661150,Canada,Ontario,Toronto,M2M 7K8,Female,High School or Below,60681.0,Married,Nova,8269.08,Standard,2014,3,2018.0,11.0
8064,276947,Canada,Ontario,Toronto,M2Z 4K1,Male,Bachelor,29905.0,Married,Aurora,8920.46,2018 Promotion,2018,3,2018.0,12.0
8069,743481,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,90286.0,Married,Nova,8277.64,Standard,2015,1,2015.0,2.0
8077,452459,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,83318.0,Divorced,Nova,8293.48,Standard,2016,11,2018.0,4.0
8081,682980,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,89007.0,Married,Nova,8302.32,Standard,2016,10,2017.0,6.0
8090,227433,Canada,Manitoba,Winnipeg,R3R 3T4,Male,College,,Single,Nova,8329.04,Standard,2014,11,2016.0,3.0
8091,650801,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,68385.0,Divorced,Nova,8334.32,Standard,2013,8,2014.0,4.0
8108,646198,Canada,Ontario,Toronto,M8Y 4K8,Male,Master,123277.0,Divorced,Nova,8365.68,Standard,2017,8,2018.0,4.0
8109,142649,Canada,Quebec,Hull,J8Y 3Z5,Male,Doctor,262729.0,Divorced,Nova,8365.96,Standard,2014,1,2014.0,9.0
8111,221627,Canada,Ontario,Toronto,P5S 6R4,Female,Bachelor,88626.0,Divorced,Nova,8370.4,Standard,2015,9,2016.0,5.0
8112,535183,Canada,Quebec,Montreal,H2Y 2W2,Male,Doctor,79684.0,Married,Nova,8372.85,Standard,2016,9,2017.0,8.0
8131,539739,Canada,Ontario,Toronto,P5S 6R4,Male,Bachelor,28446.0,Married,Aurora,10970.13,2018 Promotion,2018,3,2018.0,11.0
8135,999788,Canada,Ontario,London,M5B 3E4,Male,Bachelor,56345.0,Married,Nova,8409.07,Standard,2017,2,2017.0,10.0
8150,937849,Canada,Ontario,Sudbury,M5V 1G5,Male,Bachelor,104201.0,Married,Nova,8429.49,Standard,2016,5,2017.0,1.0
8158,795840,Canada,Ontario,London,M5B 3E4,Male,College,,Single,Aurora,11436.43,2018 Promotion,2018,3,2018.0,4.0
8162,600021,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,50949.0,Married,Nova,8457.46,Standard,2017,8,2018.0,4.0
8171,547217,Canada,Ontario,Toronto,P5S 6R4,Female,Bachelor,70861.0,Single,Nova,8478.28,Standard,2014,4,2014.0,12.0
8176,118298,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,53587.0,Married,Nova,8482.46,Standard,2014,5,2014.0,9.0
8177,823257,Canada,Ontario,Toronto,M2M 7K8,Male,College,,Married,Nova,8487.24,Standard,2017,8,2018.0,4.0
8178,368062,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,90603.0,Married,Nova,8488.56,Standard,2016,11,2017.0,7.0
8179,472488,Canada,British Columbia,Victoria,V10 6T5,Male,Bachelor,90603.0,Married,Nova,8488.56,Standard,2015,9,2017.0,8.0
8194,810517,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,96133.0,Single,Nova,8503.94,Standard,2017,1,2017.0,9.0
8196,815841,Canada,Ontario,Kingston,M9K 2P4,Male,Bachelor,20805.0,Married,Aurora,13869.93,2018 Promotion,2018,2,2018.0,10.0
8212,891218,Canada,Alberta,Edmonton,T3G 6Y6,Male,Doctor,250152.0,Married,Nova,8533.83,Standard,2015,3,2015.0,11.0
8215,204535,Canada,Manitoba,Winnipeg,R2C 0M5,Male,College,,Married,Nova,8543.33,Standard,2013,5,2013.0,10.0
8223,386979,Canada,Quebec,Montreal,H2Y 2W2,Male,College,,Single,Nova,8555.89,Standard,2018,1,2018.0,9.0
8228,754850,Canada,Saskatchewan,Regina,S6J 3G0,Female,Bachelor,98604.0,Married,Nova,8563.97,Standard,2013,12,2014.0,8.0
8232,582256,Canada,Ontario,Kingston,M9K 2P4,Female,College,,Married,Nova,8569.36,Standard,2016,1,2016.0,9.0
8240,934150,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,78087.0,Married,Nova,8590.33,Standard,2013,10,2014.0,6.0
8254,263866,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,103151.0,Single,Nova,8622.84,Standard,2016,4,2018.0,5.0
8263,516271,Canada,Quebec,Hull,J8Y 3Z5,Female,High School or Below,64869.0,Married,Nova,8641.05,Standard,2014,2,2018.0,10.0
8266,247692,Canada,Manitoba,Winnipeg,R6Y 4T5,Female,Bachelor,78830.0,Married,Nova,8646.5,Standard,2017,11,2018.0,7.0
8268,639116,Canada,Quebec,Montreal,H2T 2J6,Male,High School or Below,61453.0,Married,Nova,8653.3,Standard,2016,10,2017.0,6.0
8274,622632,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,94449.0,Single,Nova,8661.74,Standard,2015,8,2015.0,10.0
8278,379117,Canada,Ontario,Toronto,P1J 8T7,Male,College,,Single,Nova,8663.5,Standard,2017,1,2017.0,9.0
8307,565690,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,93261.0,Married,Nova,8717.05,Standard,2015,12,2018.0,9.0
8316,394200,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,50698.0,Divorced,Nova,8722.9,Standard,2015,6,2016.0,2.0
8342,100504,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,75638.0,Divorced,Nova,8807.61,Standard,2017,7,2018.0,3.0
8362,528095,Canada,Ontario,Ottawa,K1G 4Z0,Male,Bachelor,102045.0,Married,Nova,8845.07,Standard,2013,10,2014.0,6.0
8363,185531,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,65274.0,Married,Nova,8845.19,Standard,2016,11,2017.0,7.0
8378,231319,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,70384.0,Single,Nova,8879.79,Standard,2013,12,2014.0,8.0
8385,373737,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,47646.0,Single,Nova,8888.88,Standard,2016,1,2018.0,1.0
8405,489592,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,84551.0,Single,Nova,8960.28,Standard,2016,8,2017.0,4.0
8410,544306,Canada,British Columbia,Whistler,V6T 1Y8,Male,College,,Single,Nova,8992.78,Standard,2017,7,2018.0,3.0
8416,288112,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,81549.0,Married,Nova,9012.92,Standard,2016,5,2017.0,1.0
8424,966698,Canada,Manitoba,Winnipeg,R2C 0M5,Female,College,,Single,Nova,9029.94,Standard,2017,11,2018.0,7.0
8429,771353,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,53862.0,Married,Nova,9033.25,Standard,2017,3,2017.0,11.0
8433,423119,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,57033.0,Married,Nova,9035.67,Standard,2014,6,2018.0,6.0
8437,121351,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,63228.0,Divorced,Aurora,28421.57,2018 Promotion,2018,3,2018.0,5.0
8446,898119,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,63184.0,Married,Nova,9061.95,Standard,2015,12,2016.0,8.0
8449,879812,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,59510.0,Single,Nova,9075.77,Standard,2014,12,2015.0,8.0
8456,382678,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,59667.0,Married,Nova,9095.05,Standard,2013,3,2014.0,11.0
8465,833793,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,71971.0,Married,Nova,9111.76,Standard,2017,11,2018.0,7.0
8470,219276,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,47383.0,Married,Nova,9144.86,Standard,2014,2,2018.0,12.0
8482,348471,Canada,Ontario,Toronto,P1W 1K4,Male,Bachelor,88693.0,Married,Nova,9191.67,Standard,2014,2,2018.0,11.0
8501,514616,Canada,Ontario,Kingston,M9K 2P4,Female,College,,Married,Nova,9227.95,Standard,2018,1,2018.0,9.0
8508,486422,Canada,British Columbia,Whistler,V6T 1Y8,Male,College,,Married,Nova,9259.72,Standard,2014,8,2015.0,4.0
8511,280602,Canada,Nova Scotia,Halifax,B3C 2M8,Female,Bachelor,82444.0,Married,Nova,9264.33,Standard,2014,3,2015.0,3.0
8519,783610,Canada,Ontario,Toronto,P1L 8X8,Male,Bachelor,47297.0,Married,Nova,9320.28,Standard,2017,6,2018.0,2.0
8526,540901,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,College,,Single,Nova,9338.08,Standard,2013,1,2016.0,1.0
8560,883606,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,58338.0,Married,Nova,9470.27,Standard,2016,3,2016.0,11.0
8562,797187,Canada,Saskatchewan,Regina,S1J 3C5,Male,College,,Married,Nova,9472.96,Standard,2017,10,2017.0,12.0
8567,716371,Canada,Ontario,Trenton,K8V 4B2,Female,Bachelor,73055.0,Married,Nova,9487.72,Standard,2015,6,2016.0,2.0
8587,348238,Canada,New Brunswick,Fredericton,E3B 2H2,Female,College,,Married,Nova,9575.36,Standard,2017,10,2018.0,6.0
8592,242637,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,54899.0,Married,Nova,9594.78,Standard,2013,1,2014.0,9.0
8608,610631,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,85240.0,Divorced,Nova,9667.13,Standard,2015,2,2016.0,2.0
8615,437251,Canada,Ontario,Trenton,K8V 4B2,Female,Bachelor,59917.0,Married,Nova,9732.58,Standard,2017,4,2017.0,12.0
8623,999304,Canada,Ontario,Toronto,P5S 6R4,Male,College,,Single,Nova,9778.98,Standard,2015,1,2017.0,6.0
8624,552235,Canada,Quebec,Quebec City,G1B 3L5,Female,College,,Single,Nova,9780.85,Standard,2015,7,2016.0,3.0
8632,606117,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,66443.0,Married,Nova,9805.83,Standard,2014,2,2014.0,4.0
8650,233437,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,59410.0,Divorced,Nova,9918.7,Standard,2017,8,2018.0,4.0
8674,329833,Canada,Ontario,Toronto,P2T 6G3,Female,Doctor,129347.0,Single,Nova,10053.55,Standard,2015,5,2016.0,1.0
8675,627191,Canada,British Columbia,Vancouver,V6E 3D9,Female,Doctor,129347.0,Single,Nova,10053.55,Standard,2016,10,2017.0,6.0
8676,855381,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,,Single,Nova,10058.74,Standard,2017,4,2017.0,12.0
8701,395300,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,47360.0,Married,Nova,10193.77,Standard,2014,5,2015.0,9.0
8702,391091,Canada,Ontario,Toronto,P2T 6G3,Female,College,,Single,Nova,10196.11,Standard,2013,5,2014.0,6.0
8704,166677,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,57870.0,Married,Nova,10208.93,Standard,2016,12,2017.0,9.0
8709,472807,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,58665.0,Married,Nova,10209.02,Standard,2013,4,2017.0,4.0
8711,836295,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,75869.0,Married,Nova,10213.99,Standard,2016,11,2017.0,7.0
8717,952434,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,85808.0,Married,Nova,10280.81,Standard,2014,3,2014.0,11.0
8727,908404,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,93800.0,Married,Nova,10359.02,Standard,2014,10,2018.0,9.0
8745,358054,Canada,Manitoba,Winnipeg,R2C 0M5,Male,College,,Single,Nova,10461.58,Standard,2017,1,2017.0,9.0
8748,841674,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,33449.0,Divorced,Nova,3096.51,2018 Promotion,2018,3,2018.0,11.0
8777,281737,Canada,Ontario,Toronto,M2Z 4K1,Male,Bachelor,53927.0,Married,Nova,3331.45,2018 Promotion,2018,2,2018.0,10.0
8783,727072,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,76281.0,Married,Nova,10660.9,Standard,2013,9,2013.0,10.0
8790,588292,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,50920.0,Married,Nova,10721.61,Standard,2016,11,2017.0,7.0
8791,314558,Canada,Quebec,Montreal,H4G 3T4,Male,Bachelor,71649.0,Married,Nova,10722.06,Standard,2014,9,2016.0,2.0
8800,414661,Canada,Quebec,Montreal,H3T 8L4,Female,High School or Below,73751.0,Married,Nova,10839.51,Standard,2015,11,2016.0,7.0
8823,844949,Canada,British Columbia,Victoria,V10 6T5,Male,Bachelor,49588.0,Divorced,Nova,10972.07,Standard,2016,2,2016.0,11.0
8824,296566,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,99897.0,Married,Nova,10978.78,Standard,2017,8,2018.0,4.0
8836,161045,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,59022.0,Married,Nova,11029.93,Standard,2014,10,2018.0,8.0
8843,137858,Canada,British Columbia,Vancouver,V6E 3D9,Female,College,,Single,Nova,11095.97,Standard,2018,1,2018.0,9.0
8860,896685,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,,Married,Nova,11293.98,Standard,2016,12,2016.0,12.0
8891,681961,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,53065.0,Single,Nova,11611.95,Standard,2015,2,2015.0,10.0
8893,130217,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,,Single,Nova,11624.82,Standard,2016,8,2017.0,4.0
8904,678858,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,94089.0,Married,Nova,11665.1,Standard,2016,4,2016.0,12.0
8914,642401,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,97776.0,Married,Nova,11785.04,Standard,2017,7,2018.0,2.0
8924,671309,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,68665.0,Divorced,Nova,11926.75,Standard,2016,5,2017.0,1.0
8926,523194,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,92259.0,Married,Nova,3644.83,2018 Promotion,2018,2,2018.0,10.0
8927,627568,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,78881.0,Divorced,Nova,11971.98,Standard,2013,1,2017.0,6.0
8928,920068,Canada,Quebec,Montreal,H2T 9K8,Female,College,,Single,Nova,11972.78,Standard,2015,9,2016.0,5.0
8929,463146,Canada,British Columbia,Whistler,V6T 1Y8,Female,Master,106899.0,Married,Nova,11981.98,Standard,2017,5,2018.0,3.0
8934,110211,Canada,Ontario,Toronto,M8Y 4K8,Female,Bachelor,64417.0,Single,Nova,12036.62,Standard,2017,4,2017.0,12.0
8966,336238,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,76378.0,Married,Nova,12269.42,Standard,2016,10,2017.0,6.0
8980,187958,Canada,British Columbia,Whistler,V6T 1Y8,Female,High School or Below,74858.0,Single,Nova,12321.84,Standard,2016,4,2016.0,12.0
8983,352034,Canada,Manitoba,Winnipeg,R3R 3T4,Female,Bachelor,61093.0,Married,Nova,12379.57,Standard,2016,4,2016.0,12.0
8984,238193,Canada,New Brunswick,Moncton,E1A 2A7,Male,Bachelor,61617.0,Single,Nova,12383.53,Standard,2015,8,2018.0,11.0
8989,891927,Canada,Ontario,London,M5B 3E4,Female,College,,Married,Nova,12489.21,Standard,2014,12,2016.0,7.0
8999,561981,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,77696.0,Married,Nova,12590.94,Standard,2017,2,2017.0,10.0
9009,622801,Canada,Ontario,Toronto,P5S 6R4,Female,Bachelor,61813.0,Married,Nova,12731.95,Standard,2013,12,2014.0,8.0
9016,560283,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,,Single,Nova,12779.9,Standard,2015,3,2018.0,2.0
9029,305604,Canada,Alberta,Banff,T4V 1D4,Female,Bachelor,67592.0,Married,Nova,12887.43,Standard,2015,2,2017.0,7.0
9030,683685,Canada,Ontario,Toronto,M1R 4K3,Male,Bachelor,67592.0,Married,Nova,12887.43,Standard,2015,5,2016.0,1.0
9035,376630,Canada,Manitoba,Winnipeg,R6Y 4T5,Female,Bachelor,54417.0,Single,Nova,12948.4,Standard,2014,3,2017.0,7.0
9036,527656,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,61062.0,Married,Nova,12981.53,Standard,2017,3,2018.0,3.0
9040,111899,Canada,Manitoba,Winnipeg,R2C 0M5,Female,College,,Single,Nova,13021.09,Standard,2013,6,2017.0,11.0
9044,427358,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,87853.0,Single,Nova,13027.42,Standard,2015,5,2018.0,11.0
9050,994679,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,74849.0,Married,Nova,13055.57,Standard,2017,12,2018.0,8.0
9051,549598,Canada,Ontario,Toronto,M2M 7K8,Female,Bachelor,67619.0,Married,Nova,13057.17,Standard,2017,9,2018.0,5.0
9057,498573,Canada,Quebec,Montreal,H2Y 4R4,Female,College,,Single,Nova,13104.15,Standard,2016,12,2018.0,11.0
9059,537421,Canada,Quebec,Montreal,H2Y 4R4,Male,Bachelor,85761.0,Married,Nova,13110.55,Standard,2016,12,2018.0,9.0
